Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fex10_1,fex10_2,fex10_3,fex2_1,fex2_2,fex2_3,S2R_1,S2R_2,S2R_3
CG4570,524.8651086842705,-1.8254040657465347,0.10362494450699715,-17.61548895809808,1.873632025579555e-69,2.350069883512642e-67,287.60029257531573,246.02748216657855,256.05440957512457,304.6207577880131,292.0636051315604,269.24035872516055,1006.1033975296617,960.3819777988973,1101.6936968681218
fz2,782.6480281768476,1.5392460296456238,0.08821182915633186,17.449428771256088,3.476924418068394e-68,4.3051456448339163e-66,955.417921097659,876.7335275512396,935.5407864995894,1031.024103282506,1060.1529562892354,1090.3279775323879,365.64672047363706,390.93430456611395,338.05395629925926
Gadd45,892.6483238166547,1.4225578374916235,0.08161532783369864,17.43003275549247,4.881801863209913e-68,5.968157265174854e-66,967.6043741728843,975.7700140165997,983.2045943425779,1206.7668481602059,1245.0633556420091,1266.0025378353296,505.92627990062994,439.80109263687825,443.6958176427778
peb,164.1548259597443,-2.9398082261096805,0.1689214551159865,-17.403403398882165,7.7743466174422e-68,9.385579953907096e-66,82.05545070651664,77.14421050985938,87.56839115339758,44.91203480207886,46.464664452748245,50.60191139160819,331.15174684404866,353.0376117765417,404.45741200089947
spir,574.8907156199443,1.8651800325759524,0.10970649479472755,17.001546135129935,7.998225906742441e-65,9.53665009966895e-63,817.3047862451064,817.3116356720236,956.6015388023053,649.2718074648357,682.7460899179334,694.1054638056445,192.02201987137545,177.51608727747012,187.13701152280424
Gr61a,141.2837170056694,-3.053608956757534,0.18028318702215407,-16.937846546845723,2.3662949838391704e-64,2.787033774868135e-62,35.746929020660716,54.20944522314443,47.66380784298856,40.030291888809415,42.67163061987084,39.144874850112,343.7999038415644,315.14091898696944,353.1456507769048
CG42324,579.8159782377313,2.1245063900155503,0.12565880545844257,16.906944024055356,3.9991575862094974e-64,4.653477586459196e-62,978.9783970430946,918.4331007998122,951.0592355647485,620.957698567873,641.9709762145012,664.5081194067793,155.2273813331478,174.52424310987232,112.6846520997531
trol,2181.3606055306395,-1.6165676595499974,0.09578850817340173,-16.87642589258824,6.708535334387662e-64,7.7132183642281e-62,1109.7796600505121,1060.2116498449593,917.8054161394076,1365.9116671327897,1398.681225873544,1304.1926596403168,3987.6189515804194,4604.448173933031,3883.5960455807763
PGRP-SD,246.87101325134637,2.601228454703204,0.1543893191890954,16.848500067010658,1.0760946243245038e-63,1.2226966919677714e-61,199.04540022867897,197.0304835995057,146.31680547149978,506.724914397368,498.7839490233791,436.32214162198005,79.33843934805333,77.78794835754309,80.48903721410935
CG15611,155.52364893189616,2.940782826141259,0.17558747037784914,16.748249859816006,5.831680859295288e-63,6.549113225473709e-61,113.74022870210227,114.67382643357475,90.89377309593168,327.07677518905257,310.08051583772806,318.8875170716441,40.24413590118647,44.87766251396717,39.23840564187831
Tig,2672.457767914156,1.6297651036222573,0.09781957915394703,16.660929414318545,2.5207662400782064e-62,2.798340269732795e-60,3208.286879604299,3388.0903264465264,3327.5988638291083,3911.2524221114763,3622.3473103979245,3144.9565306407053,1088.8913342406738,1096.0122467299982,1264.6839972266932
CG13117,1478.8267204579427,1.5894531931398388,0.09560131270026048,16.62585113368959,4.528891124533639e-62,4.970458009175669e-60,2646.0851777339076,2448.807439022428,2255.7174176856215,1473.3100112247173,1520.0583085256212,1478.9124668981337,502.47678253767106,443.7902181936753,540.282662299709
Ser,100.40128051114651,-3.566346996812042,0.2149552324864193,-16.591115068749772,8.080607389513358e-62,8.768820917743821e-60,6.499441640120129,5.212446656071579,4.4338425900454475,21.47966881838554,22.758202997264444,24.823579173241754,272.5102916737484,275.24966341899864,270.6443876324427
CG5758,144.99691853656617,3.8293546134269865,0.2316397512334739,16.531508918636813,2.176267694425912e-61,2.3353770436406066e-59,161.67361079798823,140.73605971393263,140.77450223394297,247.99253999408762,283.52927900758624,273.0593709056593,24.146481540711882,15.956502227188325,17.10392040799824
GlyS,1576.559396616347,-1.577450055370726,0.09548754267625761,-16.519956542592535,2.6358793549386658e-61,2.797508001098641e-59,1942.5206201909039,1672.1528872677627,2016.2899178231673,783.0315632884184,692.2286745001269,673.1008968129014,2052.45093096051,2183.048960957203,2174.210117746129
scrib,6481.856361083817,1.1015486839392592,0.0667108813997379,16.51227896898372,2.99361612547147e-61,3.1426461456308107e-59,9850.716235807071,9601.32674048385,9715.657575437086,6830.534684246602,6483.243078845709,6583.976999179813,3012.561030317387,3332.9144027039615,2925.776502732875
Tsp42Ed,732.3077238887759,1.6268955002351988,0.09854748303502145,16.50874735843876,3.174033336217637e-61,3.2962165549666594e-59,1507.8704605078701,1509.5245515983295,1466.4934366575317,541.873463372908,527.2317027699596,523.2046687283262,160.97654360474587,176.51880588827086,177.07588187104056
rut,1026.4604161140862,1.3556129892800908,0.0821493621436753,16.501807852253176,3.560706610074066e-61,3.6584366425633332e-59,1358.3833027851072,1327.088918635824,1317.9597098910092,1286.8274319378247,1234.632512601596,1244.0432177974617,450.7343220932885,535.5401060000082,482.9342232846561
GstE10,371.6181159626268,1.9044601278139546,0.11726671293001505,16.240415376446506,2.6114986506300007e-59,2.6549319966089e-57,332.28395385114163,407.6133285047975,376.87662015386303,563.3531321912935,611.626705551482,583.3541105711812,152.9277164245086,158.56774088268398,157.9597355326896
CG34034,181.6402220636634,4.018528738546773,0.2490244821984007,16.137083001121006,1.4000336259067167e-58,1.4084921623965698e-56,235.6047594543547,242.90001417293558,198.41445590453378,244.08714566347206,336.63175266786993,320.79702316189343,25.296313995031497,17.951065005586866,13.07946854729277
Idgf6,7803.633689214092,-1.5348218853611337,0.09527209091262498,-16.109879301050867,2.1744789513002296e-58,2.165063681614187e-56,3736.3665128640596,4148.065048901763,4129.015911979823,5213.701431371764,5005.856400939959,4718.389549006182,13474.88653217155,13369.554303605419,16436.867512086304
CG2217,185.78147004587913,3.3008802767591745,0.20703289058011895,15.943748201118693,3.148867621981655e-57,3.0718953023332145e-55,205.5448418687991,216.8377808925777,216.14982626471556,262.63776873389594,324.30439271101835,351.3491206058833,32.19530872094918,41.885818346369355,21.128372268703703
CG42740,185.78147004587913,3.3008802767591745,0.20703289058011895,15.943748201118693,3.148867621981655e-57,3.0718953023332145e-55,205.5448418687991,216.8377808925777,216.14982626471556,262.63776873389594,324.30439271101835,351.3491206058833,32.19530872094918,41.885818346369355,21.128372268703703
Rab23,207.0143602325334,-2.5226878083013524,0.15837101516109903,-15.92897416067713,3.988468216943603e-57,3.852062603924131e-55,47.12095189087094,39.614594586144,55.42303237556809,72.24979511638773,99.56713811303194,83.06351492584741,505.92627990062994,530.5536990540119,429.6102361303087
